name,brand,price,age_group,food_type,description,full_ingredient_list,image_url,shopping_url
Wysong Epigen,Wysong,,,Dry,,,https://catfooddb.com/img/products/wysong/150_epigen1.png,https://www.chewy.com/wysong-epigen-starch-free-chicken/dp/103306
Primal Freeze-Dried Nuggets Chicken & Salmon,Primal,,,Dry,,,https://catfooddb.com/img/products/primal/150_Freeze-Dried_Nuggets_Chicken_Salmon_dry.png,https://www.chewy.com//primal-chicken-salmon-formula/dp/43387
ZiwiPeak Air-Dried Venison Recipe,ZiwiPeak,,,Dry,,,https://catfooddb.com/img/products/ziwipeak/150_Air-Dried_Venison_Recipe_dry.png,https://www.chewy.com//ziwi-peak-air-dried-venison-cat-food/dp/34565
Dr Elsey's Cleanprotein Chicken Formula Grain-free,Dr,,,Dry,,,https://catfooddb.com/img/products/dr elsey's/150_Dr._Elsey's_Cleanprotein_Chicken_Formula_Grain-free_dry.png,https://www.chewy.com/dr-elseys-cleanprotein-chicken/dp/146269
"GO! Solutions Carnivore Grain-Free Chicken, Turkey + Duck Recipe",GO!,,,Dry,,,"https://catfooddb.com/img/products/go! solutions/150_Carnivore_Grain-Free_Chicken,_Turkey_+_Duck_Recipe_dry.png",https://www.chewy.com/go-solutions-carnivore-grain-free/dp/189530
Catit Gold Fern - Air Dried Chicken,Catit Gold Fern,,,Dry,,,https://catfooddb.com/img/products/catit/150_ad-chicken.png,https://catfooddb.com/product/catit/Gold+Fern+-+Air+Dried+Chicken
Grandma Lucy's Moxie Turkey,Grandma,,,Dry,,,https://catfooddb.com/img/products/grandmalucys/150_moxie-turkey.png,https://www.chewy.com/grandma-lucys-moxie-turkey-recipe/dp/260784
Only Natural Pet Powerfusion Poultry Dinner,Only,,,Dry,,,https://catfooddb.com/img/products/only natural pet/150_Powerfusion_Poultry_Dinner_dry.png,https://catfooddb.com/product/only natural pet/Powerfusion+Poultry+Dinner
Instinct Ultimate Protein Cage-Free Duck Recipe (Dry),Instinct,,,Dry,,,https://catfooddb.com/img/products/instinct/150_Ultimate_Protein_Cage-Free_Duck_Recipe_(Dry)_dry.png,https://www.chewy.com/instinct-by-natures-variety-ultimate/dp/113463
"Wellness Core Original Original: Deboned Turkey, Turkey Meal & Chicken Meal",Wellness Core Original Original,,,Dry,,,"https://catfooddb.com/img/products/wellness/150_Core_Original_Original:_Deboned_Turkey,_Turkey_Meal___Chicken_Meal_dry.png",https://www.chewy.com/wellness-core-grain-free-original/dp/146754
Addiction Wild Islands Island Birds,Addiction,,,Dry,,,https://catfooddb.com/img/products/addiction/150_island-birds.png,https://catfooddb.com/product/addiction/Wild+Islands+Island+Birds
